No.,Category,Standardized attributes,Description,Sample values
0,Accessories,brand,Brand is the name of the company under which the product is marketed and sold.,paras creation||kamiliant||calvin klein||high quality||cflip||mfj||invu||kuku||swarajshop||groot||aashish imitation||mahit||atasi international||efl||ambal||blinkstar||efulgenz||maahi||fashion pool||novex||skylook||kavyansi||stysol||aislin||floronaenterprise||jaknap||spexra||rubans||hrinkar||rawpockets||adk||hiva purse||kekemi||rudra fashion||peora||swiss military||ehuntz||praizytimes||syn||ethnicking||skybags||opium||diza||nasher miles||forchild||i flash||gio collection||kytsch||logan||tinytot||jewel mosaic||teakwood||nakabh||jdx||it luggage||fully||adevworld||delsey||chouhan stylish||romeing||abd kingdom||mojo outdoors||tazzx||mr.brand||shining diva||tickles||roxter||silver shine||safari||icon fashion||mango people||giordano||sakhicreation||srpm||good friends||zaveri pearls||vitoria||travelus||ferrizzo||savani fashion||akshara||aristocrat||aventus||brahmani sales||swiss gear||evoto||amora||anuradha art jewellery||freny exim||jewelmaze||daniel klein||voyage||vidhya kangan||royle katoch||fly||happychild||elligator||lavie||encorarlx||farenheit||traworld||neutron||the hope fashion||united colors of benetton||inusa||zyaden||aadita||starlook||mofaro||vatsalya creation||sharma pearls and jewellers||genie||3b empire||dhruvi||polo club usa||kenneth cole||hd||thewhoop||royalmede||catalyst||leom||timenter||shiv trade||rishiv||frantic||coolwinks||humty dumty||3g||ifly||mahadev||3g collections||timus||x-cross||nuvew||joe louis||abner||miss & chief||denco||fastrack||vizolt||trunkit||tymo||leerooy||phenomenal||blezza||vermont||vip||quaffor||indian||disney||idee||blowzy bags||nikola||classique designer jewellery||sukkhi||o teddy||victorinox||pm||lorem||killer||tramp & badger||american tourister||times bags||oricet||genixenterprise||rockland||foonty||divastri||david blake||els||luxor||amour propre||vars||husso||shaina bags||rich club||victory||voylla||dkny||aggda||kamiliant by american tourister||induspider||saiyoni||elgator||suraj sales||dhanmanju||nilay fashion||prajo||bhana jewells
2,Accessories,watch_case_bezel_material,"Case/Bezel Material refers to the substance used to make the case/bezel of the particular product. Possible values are Fiber Front Case, Stainless Steel Case Case, etc.",leather strap||standless steel||etc.||ss||stainless steel back cover||brass||fiber front case||buckle||stainless steel back case||leather||cardboard||stainless steel||resin||australian alloy case||alloy||high quality brass||stain less steel||steel||metal case||synthetic leather||steel case||metal||stainless steel case||battery powered||plastic||glass||stainless steel case case||stainless steel base/ case
3,Accessories,closure,"Clasp Type refers to type of hook or buckle used to fasten the product in place. Possible values are Buckle, Push Button Clasp, etc.",ziper||velcro||zip closure||barrel clasp||double zipper||fold over||zipper||numreric lock||none||s-hook||push button||ykk zipper||push botton||tang buckle||magnetic snap||buckel||jewellery clasp||tsa||push plugs||buckle||deployment clasp||drawstring||screw||polyster||hook and eye barrel||fancy clasp||tsa number lock||jewelry clasp||securitec zipper||hoopwire||combination lock||deployment buckle||chain or zip||box tab insert||zippered||number lock||needle buckle||clip-on||magnetic||bukle||toggle||hooks||anti theft double zipper||zippper||lobster claw||band||knots||fish hook||fold-over clasp||tsa lock||push button clasp||zip||latch||lock||not applicable
4,Accessories,jewellery_set_metal_color,"Metal Color refers to the color of the metals present in the product. Possible values are Black, White, etc.",golden yellow||green||high gold finish||silver||golden||gold||copper||black||yellow||white||gold plated||gold platted||gold-plated
5,Accessories,strap_material,"Strap Material refers to the substance used to make the strap of the particular product. Possible values are Leather, Plastic, Metal, Ceramic, etc.","genuine leather||leather strap||wooden||silicone||silicone strap||lather||synthetic||synthetic leather strap||stainless steel strap||leather||genuine leather strap||fabric||gold||rubber||genuine leather, metal||metal strap||stainless steel||titanium||jewel||resin||ceramic||silicon||synthetic leather||polycarbonate||platinum||pu||metal||plastic||pearl||sl leather"
6,Accessories,color,"Color refers to the standard set of colors defined for the refiner on the Flipkart browse page. It is a Multi-Text attribute which means that a maximum of 3 color options can be chosen to represent a product. The value 'Multicolor' should be chosen if the product has a blend of colors, that is, 4 or more color options.",multicolor||blue||dark green||black||light green||beige||ruby red||tan||silver||gold||khaki||light blue||teal||white||red||rose gold||grey||green||pink||mustard||turquoise||purple||brown||dark blue||platinum||maroon||bronze||copper||cream||yellow||orange
13,Accessories,sunglass_design,"Design refers to the drawing/sketch/designs/accents on the product by means of printing, embellishments, metal decorative attachments, diamantes, leather work, etc. Possible values are Metal Gold Logo Design on Arms, Metal Brackets on Sides, Rose-gold Ends for the Arms of the Sunglasses, etc.",printed||stylish sunglass||silver logo on sunglasses||stylish||self||mirrored lens||uv protection lens||its very comfortable spectacles||gradient||mirrored||decent look||black digital printing||plain||filigree brow bar||light weight||kabir singh||regular||oval||round||italy||uv protection||solid||sunglasses combo||aviator||wayfarer||very comfortable design
14,Accessories,suitcase_detail_placement,Detail Placement refers to the print or design placed on particular place of the product.,front||all-over||front & back||top
15,Accessories,dial_color,"Dial Color refers to the color of the dial on the product. Possible values are Black, Blue, Grey, etc.",multicolor||multi||blue||multicolour||black||beige||violet||silver||gold||white||peach||red||rose gold||grey||green||pink||purple||brown||maroon||bronze||yellow||orange
16,Accessories,watch_dial_shape,"Dial Shape refers to the physical form of the dial on the product. Possible values are Round, Square, Oval, Rectangle, Triangle, Contemporary, Tonneau, etc.",triangle||square||round||contemporary||rectangle||tonneau||oval
