No.,Category,Standardized attributes,Description,Sample values
0,Footwear,brand,Brand refers to a type of product manufactured by a company under a particular name.,inc.5||reebok||arrow||aura||indiweaves||jiansh||swiggy||earton||d shoe lounge||bavis||crocs||anouk||oricum||bersache||u.s. polo assn.||drunken||carlton london||pexlo||zionk||armado||angel fashion||tying||mochi||kapyansh||4step||metro||adidas||dashny||begone||pampy angel||bata||nike||camfoot||paragon||allen solly||khadim's||asian||van heusen||rocia||tresmode||aaradhaya||kapani fashion||eephh||smartx||flat n heels||red tape||gnist||jade||walkway||sporter||ajanta||shoefly||lavie||fabionix||united colors of benetton||dorothy perkins||london steps||campus||shoe fellow||chevit||the perfect fit||adj||emosis||super||solethreads||trase||adda||dressberry||mast & harbour||arunima sports||brauch||aqualite||clarks||axter||ketimporta||puma||fila||abisto||sherrif shoes||pery-pao||longwalk||des tongs||pkkart||aldo||asics||ginger||ipanema||nobelite||roadster||world wear footwear||birde||tommy hilfiger
1,Footwear,closure,Closure refers to the closing or fastening mechanism of a product.,"velcro||silp-on||back strap||strap||tie up||velcro,slip on||buckel||buckle||drawstring||slip ons||silip-on||ankle buckle||velcro strap||closed back||slip-ons||open||backstrap||elastic||ankle straps||back open||slingback||ankle loop||hook & loop||velcro,slip-on||open back||sling back||slip on||na||t straps||slip-on||ankle strap||sandal||slipon||zip||buckle strap||lace-ups"
2,Footwear,color,"Color refers to the standard set of colors defined by Flipkart, with which you need to map the Brand Color for website refiner.",multicolor||blue||black||neutral||beige||tan||silver||gold||khaki||burgundy||white||natural||red||grey||green||pink||olive||off white||navy||purple||brown||bronze||maroon||copper||yellow||orange
4,Footwear,shoe_detail_placement,Detail Placement refers to the print or design placed on particular place of the garment.,collar||cuffs||yoke||neckline||shoulder||sleeves||hemline||all - over||back||chest||none
5,Footwear,ideal_for,Ideal For refers to which gender the product would be most suitable for.,women||men
6,Footwear,inner_material,Inner Material refers to the substance used to make the insides of the product.,"genuine leather||soft padding||comfort form||cotton linning||mesh||cotton lining||crepe cotton||synthetic||rexin||napa pu||faux leather||comfort foam||suede||foaming||leather||airmix||cushion||synthetic linning||fabric||solid rubber||pvc||rubber||tpc||eva footbed||millar||non-leather||soft synthetic foam||pu foam||synthetic foam||10||canvas||tpr||croslite||febric||resin||synthetic lining||denim||leather lining||textile||soft lining||memory foam||velvet||padded||from||eva||foam||syntheic leather||synthic||padded footbed||synthetic leather||lenin||cotton||pu||artificial leather||airmax||solid||comfort fabric||resin, febric||cloth||comfort insole||soft synthetic||nappa leather||synthetic fabric||soft fabric"
7,Footwear,leather_type,Leather Type refers to the type of leather used in the making of the product. This is not applicable for non-leather products.,split||nubuck||napa||top grain
8,Footwear,occasion,"Occasion refers to the type of event that the product is ideally designed to be used for. Note, 'Casual' can be selected as an occasion when the product is designed for daily wear.",party||wedding||sports||riding||casual||formal||ethnic
9,Footwear,ornamentation_type,Ornamentation Type refers to the decorative elements added to the product to enhance its appearance and make it more attractive,jewels||gold details||stitch details||ghungru||fringes||none||applique||metal embellishment||stone||mesh||brand logo||fur||sequins||braids||bows||buckle||colorblock||crosstraps||embroidery||backstrap||mirror work||metal details||ghungroo||tassles||twill tape||ruffles||floral design||patchwork||ruffle||pom poms||stones||beads||smileys||thread work||eyelets||lace||tassel||tassels||knots||laser cut||hardware details||ankle strap||stitching details||statement logo||pearls||buttons||blings||sequined||gathers||ribbon||zipper details||patch work||button||pearl||toe straps
10,Footwear,outer_material,Outer Material refers to the substance used to make the outsides of a particular product. For footwear products it would pertain to the material on top of the footwear or the straps. Sole material should not be mentioned here.,genuine leather||mesh||synthetic||fur||nubuck leather||suede||leather||jute||fabric||pvc||rubber||polyester||nylon||cordovan leather||lycra||canvas||croslite||satin||resin||denim||textile||velvet||eva||synthetic leather||pu||artificial leather||tpu||patent leather||plastic||nappa leather
11,Footwear,footwear_pattern_placement,Pattern Placement refers to the print or design placed on particular place on the product.,heel||straps||topline||none||toe||upper||counter||collar||vamp||insole||tongue
12,Footwear,pattern,Heel Pattern refers to the pattern available on the heel of the product.,printed||perforations||wooden||applique||mesh||leopard print||giraffe print||embroidered||embossed||polka print||weave||camouflage||zebra print||graphic print||colorblock||stripes||chevron||spotted hyna print||clear/transparent||monochrome||geometric print||shimmer||engrave||colorblocked||woven design||self design||colourblocked||patchwork||metallic||snake print||engraved||tiger print||textured||floral print||na||laser cut||stitching details||washed||striped||bling||dyed||houndstooth||solid||finish or effect||checkered||jungle print||holographic||ombre||typography||mettalic band||embellished
14,Footwear,size,"Size refers to the size of the product represented in a numeric format. The value can be given in either a UK/India, US or Euro sizing standard. For kids product please fill the size as Euro details.",9.5||43.0||34.0||5.5||36.0||4.5||14.0||35.5||37.0||39.0||9.0||46.0||8.0||5.0||42.0||3.5||41.0||45.0||12.0||40.5||4.0||44.5||3.0||42.5||44.0||6.0||13.0||38.0||7.5||6.5||10.0||40.0||7.0||10.5||8.5||2.0||11.0||47.0||35.0
15,Footwear,sole_material,Sole Material refers to the substance used to make the sole of the product.,"resin sheet||eva, rubber||mesh||synthetic||eva sole||eva rubber sole||rexin||phylon,pu||rubber sheet sole||phylon||rubber & pvc||eva rubber||rubber sole||airmix||leather||fabric||pvc||rubber||tpc||p u||rubber, eva||rubberised eva||trp||tpr||canvas||neolite||croslite||sheet||eva,pvc||resin||pvc,eva||natural rubber||air mix||pu sole||foam||eva||pe||synthetic leather||pu leather||pu||airmax||tpu||rubber sheet||manmade||sheet sole||air max"
